iter	Passed	Remaining
0	60	60321
1	60	30266
2	60	20246
3	61	15240
4	61	12244
5	61	10241
6	62	8807
7	62	7731
8	62	6896
9	62	6227
10	63	5680
11	63	5224
12	63	4837
13	63	4506
14	64	4219
15	64	3966
16	64	3745
17	65	3547
18	65	3371
19	65	3213
20	65	3069
21	66	2938
22	66	2818
23	66	2708
24	66	2607
25	67	2514
26	67	2428
27	67	2347
28	67	2272
29	68	2202
30	68	2136
31	68	2075
32	68	2017
33	69	1965
34	69	1913
35	69	1865
36	69	1821
37	70	1778
38	70	1737
39	70	1698
40	71	1661
41	71	1625
42	71	1591
43	71	1558
44	72	1528
45	72	1498
46	72	1470
47	72	1443
48	73	1416
49	73	1392
50	73	1367
51	73	1344
52	74	1322
53	74	1301
54	74	1281
55	74	1261
56	75	1241
57	75	1223
58	75	1204
59	75	1187
60	76	1171
61	76	1155
62	76	1139
63	76	1124
64	77	1109
65	77	1094
66	77	1080
67	77	1065
68	77	1051
69	78	1039
70	78	1026
71	78	1014
72	78	1002
73	79	990
74	79	980
75	79	969
76	79	958
77	80	948
78	80	938
79	80	928
80	80	918
81	81	909
82	81	899
83	81	890
84	81	880
85	82	872
86	82	862
87	82	854
88	82	846
89	82	838
90	83	830
91	83	823
92	83	816
93	83	809
94	84	802
95	84	795
96	84	788
97	84	781
98	85	774
99	85	768
100	85	761
101	85	754
102	85	748
103	86	742
104	86	736
105	86	730
106	86	724
107	87	718
108	87	713
109	87	707
110	87	702
111	87	696
112	88	692
113	88	687
114	88	682
115	88	677
116	89	672
117	89	667
118	89	662
119	89	658
120	90	654
121	90	650
122	90	644
123	90	640
124	90	635
125	91	631
126	91	627
127	91	623
128	91	619
129	91	615
130	92	611
131	92	607
132	92	603
133	92	600
134	93	596
135	93	592
136	93	589
137	93	585
138	93	581
139	94	578
140	94	574
141	94	571
142	94	568
143	95	565
144	95	562
145	95	558
146	95	555
147	96	552
148	96	549
149	96	546
150	96	543
151	96	540
152	97	537
153	97	535
154	97	532
155	97	529
156	98	527
157	98	524
158	98	521
159	98	519
160	99	516
161	99	513
162	99	511
163	99	508
164	99	505
165	100	503
166	100	501
167	100	498
168	100	496
169	101	493
170	101	491
171	101	489
172	101	486
173	102	484
174	102	482
175	102	480
176	102	478
177	103	476
178	104	478
179	104	476
180	104	473
181	104	471
182	105	469
183	105	467
184	105	465
185	105	463
186	106	461
187	106	459
188	106	457
189	106	455
190	107	453
191	107	451
192	107	449
193	107	447
194	107	445
195	108	443
196	108	441
197	108	440
198	108	438
199	109	436
200	109	435
201	109	433
202	109	431
203	110	429
204	110	428
205	110	426
206	110	425
207	111	423
208	111	421
209	111	420
210	111	418
211	112	416
212	112	415
213	112	413
214	112	411
215	113	410
216	113	408
217	113	407
218	113	405
219	113	404
220	114	402
221	114	401
222	114	399
223	114	398
224	115	396
225	115	395
226	115	393
227	115	392
228	116	390
229	116	389
230	116	388
231	116	386
232	117	385
233	117	383
234	117	382
235	117	381
236	117	379
237	118	378
238	118	377
239	118	375
240	118	374
241	119	373
242	119	371
243	119	370
244	119	369
245	120	368
246	120	366
247	120	365
248	120	364
249	120	362
250	121	361
251	121	360
252	121	359
253	121	357
254	122	356
255	122	355
256	122	354
257	122	353
258	123	352
259	123	350
260	123	349
261	123	348
262	124	347
263	124	346
264	124	345
265	124	344
266	125	343
267	125	342
268	125	341
269	125	339
270	125	338
271	126	337
272	126	336
273	126	335
274	126	334
275	127	333
276	127	332
277	127	331
278	128	330
279	128	330
280	128	329
281	128	328
282	129	327
283	129	326
284	129	325
285	129	324
286	130	323
287	130	322
288	130	321
289	130	320
290	131	319
291	131	318
292	131	317
293	131	316
294	132	315
295	132	314
296	132	313
297	132	312
298	133	311
299	133	311
300	133	310
301	133	309
302	134	308
303	134	307
304	134	306
305	134	305
306	135	304
307	135	303
308	135	302
309	135	301
310	135	301
311	136	300
312	136	299
313	136	298
314	136	297
315	137	296
316	137	295
317	137	294
318	137	294
319	138	293
320	138	292
321	138	291
322	138	290
323	138	289
324	139	289
325	139	288
326	139	287
327	139	286
328	140	285
329	140	285
330	140	284
331	140	283
332	141	282
333	141	281
334	141	281
335	141	280
336	142	279
337	142	278
338	142	277
339	142	277
340	142	276
341	143	275
342	143	274
343	143	273
344	143	273
345	144	272
346	144	271
347	144	271
348	144	270
349	145	269
350	145	268
351	145	268
352	145	267
353	146	266
354	146	265
355	146	264
356	146	264
357	147	263
358	147	262
359	147	262
360	147	261
361	147	260
362	148	260
363	148	259
364	148	258
365	148	257
366	149	257
367	149	256
368	149	255
369	149	255
370	150	254
371	150	253
372	150	253
373	150	252
374	151	251
375	151	251
376	151	250
377	151	249
378	151	249
379	152	248
380	152	247
381	152	247
382	152	246
383	153	245
384	153	245
385	153	244
386	153	243
387	154	243
388	154	242
389	154	241
390	154	241
391	155	240
392	155	239
393	155	239
394	155	238
395	156	237
396	156	237
397	156	236
398	156	236
399	157	235
400	157	234
401	157	234
402	157	233
403	158	233
404	158	232
405	158	231
406	158	231
407	158	230
408	159	230
409	159	229
410	159	228
411	159	228
412	160	227
413	160	227
414	160	226
415	160	225
416	161	225
417	161	224
418	161	224
419	161	223
420	162	222
421	162	222
422	162	221
423	162	221
424	163	220
425	163	220
426	163	219
427	163	218
428	163	218
429	164	217
430	164	217
431	164	216
432	164	215
433	165	215
434	165	214
435	165	214
436	165	213
437	166	213
438	166	212
439	166	212
440	166	211
441	167	210
442	167	210
443	167	209
444	167	209
445	168	208
446	168	208
447	168	207
448	168	207
449	169	206
450	169	206
451	169	205
452	169	204
453	169	204
454	170	203
455	170	203
456	170	202
457	170	202
458	171	201
459	171	201
460	171	200
461	171	200
462	172	199
463	172	199
464	172	198
465	172	198
466	173	197
467	173	197
468	173	196
469	173	196
470	174	195
471	174	195
472	174	194
473	174	193
474	175	193
475	175	192
476	175	192
477	175	191
478	176	191
479	176	190
480	176	190
481	176	189
482	176	189
483	177	188
484	177	188
485	177	187
486	177	187
487	178	186
488	178	186
489	178	185
490	178	185
491	179	184
492	179	184
493	179	183
494	179	183
495	180	182
496	180	182
497	180	181
498	180	181
499	180	180
500	181	180
501	181	179
502	181	179
503	181	178
504	182	178
505	182	178
506	182	177
507	182	177
508	183	176
509	183	176
510	183	175
511	183	175
512	184	174
513	184	174
514	184	173
515	184	173
516	185	172
517	185	172
518	185	171
519	185	171
520	185	170
521	186	170
522	186	170
523	186	169
524	186	169
525	187	168
526	187	168
527	187	167
528	187	167
529	188	166
530	188	166
531	188	165
532	188	165
533	188	164
534	189	164
535	189	164
536	189	163
537	189	163
538	190	162
539	190	162
540	190	161
541	190	161
542	191	160
543	191	160
544	191	159
545	191	159
546	191	158
547	192	158
548	192	158
549	192	157
550	192	157
551	193	156
552	193	156
553	193	155
554	193	155
555	194	154
556	194	154
557	194	154
558	194	153
559	194	153
560	195	152
561	195	152
562	195	151
563	195	151
564	196	150
565	196	150
566	196	150
567	196	149
568	196	149
569	197	148
570	197	148
571	197	147
572	197	147
573	198	147
574	198	146
575	198	146
576	198	145
577	199	145
578	199	145
579	199	144
580	199	144
581	200	143
582	200	143
583	200	142
584	200	142
585	201	142
586	201	141
587	201	141
588	201	140
589	202	140
590	202	140
591	202	139
592	202	139
593	202	138
594	203	138
595	203	137
596	203	137
597	203	137
598	204	136
599	204	136
600	204	135
601	204	135
602	205	135
603	205	134
604	205	134
605	206	133
606	206	133
607	206	133
608	206	132
609	207	132
610	207	132
611	207	131
612	207	131
613	208	130
614	208	130
615	208	129
616	208	129
617	208	129
618	209	128
619	209	128
620	209	127
621	209	127
622	210	127
623	210	126
624	210	126
625	210	125
626	210	125
627	211	125
628	211	124
629	211	124
630	211	123
631	212	123
632	212	123
633	212	122
634	212	122
635	213	121
636	213	121
637	213	121
638	213	120
639	214	120
640	214	120
641	214	119
642	214	119
643	215	118
644	215	118
645	215	118
646	215	117
647	215	117
648	216	116
649	216	116
650	216	116
651	216	115
652	217	115
653	217	114
654	217	114
655	217	114
656	218	113
657	218	113
658	218	113
659	218	112
660	219	112
661	219	112
662	219	111
663	219	111
664	220	110
665	220	110
666	220	110
667	220	109
668	221	109
669	221	108
670	221	108
671	221	108
672	222	107
673	222	107
674	222	107
675	222	106
676	222	106
677	223	105
678	223	105
679	223	105
680	223	104
681	224	104
682	224	104
683	224	103
684	224	103
685	224	102
686	225	102
687	225	102
688	225	101
689	226	101
690	226	101
691	226	100
692	226	100
693	226	100
694	227	99
695	227	99
696	227	98
697	227	98
698	228	98
699	228	97
700	228	97
701	228	97
702	229	96
703	229	96
704	229	96
705	229	95
706	229	95
707	230	94
708	230	94
709	230	94
710	230	93
711	231	93
712	231	93
713	231	92
714	231	92
715	231	92
716	232	91
717	232	91
718	233	91
719	233	90
720	233	90
721	234	90
722	234	89
723	234	89
724	234	89
725	235	88
726	235	88
727	235	88
728	235	87
729	236	87
730	236	86
731	236	86
732	236	86
733	237	85
734	237	85
735	237	85
736	237	84
737	238	84
738	238	84
739	238	83
740	238	83
741	239	83
742	239	82
743	239	82
744	239	82
745	240	81
746	240	81
747	240	81
748	240	80
749	241	80
750	241	80
751	241	79
752	241	79
753	241	78
754	242	78
755	242	78
756	242	77
757	242	77
758	243	77
759	243	76
760	243	76
761	243	76
762	244	75
763	244	75
764	244	75
765	244	74
766	245	74
767	245	74
768	245	73
769	245	73
770	245	73
771	246	72
772	246	72
773	246	72
774	246	71
775	247	71
776	247	71
777	247	70
778	247	70
779	248	69
780	248	69
781	248	69
782	248	68
783	249	68
784	249	68
785	249	67
786	249	67
787	250	67
788	250	66
789	250	66
790	250	66
791	250	65
792	251	65
793	251	65
794	251	64
795	251	64
796	252	64
797	252	63
798	252	63
799	252	63
800	253	62
801	253	62
802	253	62
803	253	61
804	254	61
805	254	61
806	254	60
807	254	60
808	255	60
809	255	59
810	255	59
811	255	59
812	256	58
813	256	58
814	256	58
815	256	57
816	257	57
817	257	57
818	257	56
819	257	56
820	257	56
821	258	55
822	258	55
823	258	55
824	258	54
825	259	54
826	259	54
827	259	53
828	259	53
829	260	53
830	260	52
831	260	52
832	260	52
833	261	51
834	261	51
835	261	51
836	261	50
837	261	50
838	262	50
839	262	49
840	262	49
841	262	49
842	263	48
843	263	48
844	263	48
845	263	48
846	263	47
847	264	47
848	264	47
849	264	46
850	264	46
851	265	46
852	265	45
853	265	45
854	265	45
855	266	44
856	266	44
857	266	44
858	266	43
859	266	43
860	267	43
861	267	42
862	267	42
863	268	42
864	268	41
865	268	41
866	268	41
867	268	40
868	269	40
869	269	40
870	269	39
871	269	39
872	269	39
873	270	38
874	270	38
875	270	38
876	270	37
877	271	37
878	271	37
879	271	37
880	271	36
881	272	36
882	272	36
883	272	35
884	272	35
885	273	35
886	273	34
887	273	34
888	273	34
889	273	33
890	274	33
891	274	33
892	274	32
893	274	32
894	275	32
895	275	31
896	275	31
897	275	31
898	276	31
899	276	30
900	276	30
901	276	30
902	277	29
903	277	29
904	277	29
905	277	28
906	278	28
907	278	28
908	278	27
909	278	27
910	279	27
911	279	26
912	279	26
913	279	26
914	279	26
915	280	25
916	280	25
917	280	25
918	280	24
919	281	24
920	281	24
921	281	23
922	281	23
923	282	23
924	282	22
925	282	22
926	282	22
927	282	21
928	283	21
929	283	21
930	283	21
931	283	20
932	284	20
933	284	20
934	284	19
935	284	19
936	285	19
937	285	18
938	285	18
939	285	18
940	285	17
941	286	17
942	286	17
943	286	17
944	286	16
945	287	16
946	287	16
947	287	15
948	287	15
949	288	15
950	288	14
951	288	14
952	288	14
953	289	13
954	289	13
955	289	13
956	289	13
957	290	12
958	290	12
959	290	12
960	290	11
961	290	11
962	291	11
963	291	10
964	291	10
965	291	10
966	292	9
967	292	9
968	292	9
969	292	9
970	293	8
971	293	8
972	293	8
973	293	7
974	293	7
975	294	7
976	294	6
977	294	6
978	295	6
979	295	6
980	295	5
981	295	5
982	295	5
983	296	4
984	296	4
985	296	4
986	296	3
987	297	3
988	297	3
989	297	3
990	297	2
991	298	2
992	298	2
993	298	1
994	298	1
995	298	1
996	299	0
997	299	0
998	299	0
999	299	0
